statement,line_item,concept,period,value,units,form,accession,source_url,provenance
BS,Prepaid & other current assets,PrepaidExpenseAndOtherAssetsCurrent,Q/E 2026-03-31,761190000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,Short-term investments,ShortTermInvestments,,,NOT_TAGGED,,,,FILED?
BS,Total stockholders' equity,StockholdersEquity,FY2023,1972005000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,FY2024,5417206000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,FY2025,6301693000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,Q/E 2024-09-30,5876754000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,Q/E 2024-12-31,6238307000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,Q/E 2025-03-31,6379319000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,Q/E 2025-09-30,6523390000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,Q/E 2025-12-31,6992015000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Total stockholders' equity,StockholdersEquity,Q/E 2026-03-31,7575430000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
CF,"D&A + accretion (cash flow, alt)",DepreciationAmortizationAndAccretionNet,,,NOT_TAGGED,,,,FILED?
CF,D&A (cash flow),DepreciationDepletionAndAmortization,FY2023,34904000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,FY2024,30100000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,FY2025,41000000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,Q/E 2024-09-30,9000000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,Q/E 2024-12-31,9500000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,Q/E 2025-03-31,10900000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,Q/E 2025-09-30,12100000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,Q/E 2025-12-31,12800000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
CF,D&A (cash flow),DepreciationDepletionAndAmortization,Q/E 2026-03-31,13500000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
CF,Change in payables,IncreaseDecreaseInAccountsPayable,FY2023,127135000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
CF,Change in payables,IncreaseDecreaseInAccountsPayable,FY2024,679190000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
CF,Change in payables,IncreaseDecreaseInAccountsPayable,FY2025,-180968000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
CF,Change in payables,IncreaseDecreaseInAccountsPayable,Q/E 2024-09-30,220353000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
CF,Change in payables,IncreaseDecreaseInAccountsPayable,Q/E 2025-09-30,901000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
